machine,machine_id,condition,original_path,sample_bank_path,filename
fan,id_00,normal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_fan/fan/id_00/normal/00000000.wav,/kaggle/working/sample_bank/fan/id_00/normal/00000000.wav,00000000.wav
fan,id_00,normal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_fan/fan/id_00/normal/00000001.wav,/kaggle/working/sample_bank/fan/id_00/normal/00000001.wav,00000001.wav
fan,id_00,normal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_fan/fan/id_00/normal/00000002.wav,/kaggle/working/sample_bank/fan/id_00/normal/00000002.wav,00000002.wav
fan,id_00,abnormal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_fan/fan/id_00/abnormal/00000000.wav,/kaggle/working/sample_bank/fan/id_00/abnormal/00000000.wav,00000000.wav
fan,id_00,abnormal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_fan/fan/id_00/abnormal/00000001.wav,/kaggle/working/sample_bank/fan/id_00/abnormal/00000001.wav,00000001.wav
fan,id_00,abnormal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_fan/fan/id_00/abnormal/00000002.wav,/kaggle/working/sample_bank/fan/id_00/abnormal/00000002.wav,00000002.wav
fan,id_02,normal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_fan/fan/id_02/normal/00000000.wav,/kaggle/working/sample_bank/fan/id_02/normal/00000000.wav,00000000.wav
fan,id_02,normal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_fan/fan/id_02/normal/00000001.wav,/kaggle/working/sample_bank/fan/id_02/normal/00000001.wav,00000001.wav
fan,id_02,normal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_fan/fan/id_02/normal/00000002.wav,/kaggle/working/sample_bank/fan/id_02/normal/00000002.wav,00000002.wav
fan,id_02,abnormal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_fan/fan/id_02/abnormal/00000000.wav,/kaggle/working/sample_bank/fan/id_02/abnormal/00000000.wav,00000000.wav
fan,id_02,abnormal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_fan/fan/id_02/abnormal/00000001.wav,/kaggle/working/sample_bank/fan/id_02/abnormal/00000001.wav,00000001.wav
fan,id_02,abnormal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_fan/fan/id_02/abnormal/00000002.wav,/kaggle/working/sample_bank/fan/id_02/abnormal/00000002.wav,00000002.wav
fan,id_04,normal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_fan/fan/id_04/normal/00000000.wav,/kaggle/working/sample_bank/fan/id_04/normal/00000000.wav,00000000.wav
fan,id_04,normal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_fan/fan/id_04/normal/00000001.wav,/kaggle/working/sample_bank/fan/id_04/normal/00000001.wav,00000001.wav
fan,id_04,normal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_fan/fan/id_04/normal/00000002.wav,/kaggle/working/sample_bank/fan/id_04/normal/00000002.wav,00000002.wav
fan,id_04,abnormal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_fan/fan/id_04/abnormal/00000000.wav,/kaggle/working/sample_bank/fan/id_04/abnormal/00000000.wav,00000000.wav
fan,id_04,abnormal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_fan/fan/id_04/abnormal/00000001.wav,/kaggle/working/sample_bank/fan/id_04/abnormal/00000001.wav,00000001.wav
fan,id_04,abnormal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_fan/fan/id_04/abnormal/00000002.wav,/kaggle/working/sample_bank/fan/id_04/abnormal/00000002.wav,00000002.wav
fan,id_06,normal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_fan/fan/id_06/normal/00000000.wav,/kaggle/working/sample_bank/fan/id_06/normal/00000000.wav,00000000.wav
fan,id_06,normal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_fan/fan/id_06/normal/00000001.wav,/kaggle/working/sample_bank/fan/id_06/normal/00000001.wav,00000001.wav
fan,id_06,normal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_fan/fan/id_06/normal/00000002.wav,/kaggle/working/sample_bank/fan/id_06/normal/00000002.wav,00000002.wav
fan,id_06,abnormal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_fan/fan/id_06/abnormal/00000000.wav,/kaggle/working/sample_bank/fan/id_06/abnormal/00000000.wav,00000000.wav
fan,id_06,abnormal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_fan/fan/id_06/abnormal/00000001.wav,/kaggle/working/sample_bank/fan/id_06/abnormal/00000001.wav,00000001.wav
fan,id_06,abnormal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_fan/fan/id_06/abnormal/00000002.wav,/kaggle/working/sample_bank/fan/id_06/abnormal/00000002.wav,00000002.wav
pump,id_00,normal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_pump/pump/id_00/normal/00000000.wav,/kaggle/working/sample_bank/pump/id_00/normal/00000000.wav,00000000.wav
pump,id_00,normal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_pump/pump/id_00/normal/00000001.wav,/kaggle/working/sample_bank/pump/id_00/normal/00000001.wav,00000001.wav
pump,id_00,normal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_pump/pump/id_00/normal/00000002.wav,/kaggle/working/sample_bank/pump/id_00/normal/00000002.wav,00000002.wav
pump,id_00,abnormal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_pump/pump/id_00/abnormal/00000000.wav,/kaggle/working/sample_bank/pump/id_00/abnormal/00000000.wav,00000000.wav
pump,id_00,abnormal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_pump/pump/id_00/abnormal/00000001.wav,/kaggle/working/sample_bank/pump/id_00/abnormal/00000001.wav,00000001.wav
pump,id_00,abnormal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_pump/pump/id_00/abnormal/00000002.wav,/kaggle/working/sample_bank/pump/id_00/abnormal/00000002.wav,00000002.wav
pump,id_02,normal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_pump/pump/id_02/normal/00000000.wav,/kaggle/working/sample_bank/pump/id_02/normal/00000000.wav,00000000.wav
pump,id_02,normal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_pump/pump/id_02/normal/00000001.wav,/kaggle/working/sample_bank/pump/id_02/normal/00000001.wav,00000001.wav
pump,id_02,normal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_pump/pump/id_02/normal/00000002.wav,/kaggle/working/sample_bank/pump/id_02/normal/00000002.wav,00000002.wav
pump,id_02,abnormal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_pump/pump/id_02/abnormal/00000000.wav,/kaggle/working/sample_bank/pump/id_02/abnormal/00000000.wav,00000000.wav
pump,id_02,abnormal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_pump/pump/id_02/abnormal/00000001.wav,/kaggle/working/sample_bank/pump/id_02/abnormal/00000001.wav,00000001.wav
pump,id_02,abnormal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_pump/pump/id_02/abnormal/00000002.wav,/kaggle/working/sample_bank/pump/id_02/abnormal/00000002.wav,00000002.wav
pump,id_04,normal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_pump/pump/id_04/normal/00000000.wav,/kaggle/working/sample_bank/pump/id_04/normal/00000000.wav,00000000.wav
pump,id_04,normal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_pump/pump/id_04/normal/00000001.wav,/kaggle/working/sample_bank/pump/id_04/normal/00000001.wav,00000001.wav
pump,id_04,normal,/kaggle/input/datasets/bisheshgiri/mimii-dataset/0_dB_pump/pump/id_04/normal/00000002.wav,/kaggle/working/sample_bank/pump/id_04/normal/00000002.wav,00000002.wav
